art_of_paintingLabel,date_of_birth,movementLabel,image,place_of_birthLabel,workCount
Vincent van Gogh,1853-03-30T00:00:00Z,Expressionism,http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20Self-Portrait%20-%20Google%20Art%20Project%20%28454045%29.jpg,Zundert,1138
Vincent van Gogh,1853-03-30T00:00:00Z,Post-impressionism,http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20Self-Portrait%20-%20Google%20Art%20Project%20%28454045%29.jpg,Zundert,1138
Joseph Henry Sharp,1859-09-27T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Henry%20Sharp.jpg,Bridgeport,279
Jacob Maris,1837-08-25T00:00:00Z,Hague School,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Maris%20by%20Matthijs%20Maris.jpg,The Hague,245
Karel Appel,1921-04-25T00:00:00Z,abstract expressionism,http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Appel%20%281982%29.jpg,Amsterdam,198
Karel Appel,1921-04-25T00:00:00Z,COBRA,http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Appel%20%281982%29.jpg,Amsterdam,198
Lawrence Alma-Tadema,1836-01-08T00:00:00Z,neo-Pompeian,http://commons.wikimedia.org/wiki/Special:FilePath/Lawrence%20Alma-Tadema%20ca%201910.jpg,Dronryp,190
Ford Madox Brown,1821-04-16T00:00:00Z,Pre-Raphaelite Brotherhood,http://commons.wikimedia.org/wiki/Special:FilePath/Ford%20Madox%20Brown.jpg,Calais,114
Jean de Bosschère,1878-07-05T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Bookman%2C%20Volume%2063-024-Jean%20de%20Bosschere.jpg,City of Brussels,93
Jean de Bosschère,1878-07-05T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Bookman%2C%20Volume%2063-024-Jean%20de%20Bosschere.jpg,Malèves-Sainte-Marie-Wastines,93
Jean de Bosschère,1878-07-05T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Bookman%2C%20Volume%2063-024-Jean%20de%20Bosschere.jpg,Brussels,93
Arthur Lismer,1885-06-27T00:00:00Z,Group of Seven,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Lismer%2C%20A.R.C.A.%20%28I0007820%29.jpg,Sheffield,90
Anne-Mie Van Kerckhoven,1951-12-05T00:00:00Z,,,Antwerp,68
Charles Verlat,1824-11-25T00:00:00Z,realism,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Verlat%20-%20Self-portrait.jpg,Antwerp,63
George Edmund Butler,1872-01-15T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/George%20Edmund%20Butler%20alongside%20one%20of%20his%20paintings.JPG,Southampton,57
Eduard Frankfort,1864-06-21T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/EduardFrankfort.jpg,Meppel,48
Floris Arntzenius,1864-06-09T00:00:00Z,Hague School,http://commons.wikimedia.org/wiki/Special:FilePath/Floris%20Arntzenius%20-%20Zelfportret.jpg,Surabaya,45
John Duncan,1866-07-19T00:00:00Z,Symbolism,,Dundee,41
Antoine Wiertz,1806-02-22T00:00:00Z,Romanticism,http://commons.wikimedia.org/wiki/Special:FilePath/Wiertz%20selbst%20bildnis.jpg,Dinant,32
Samuel Schwarz,1876-07-28T00:00:00Z,Bergen school,http://commons.wikimedia.org/wiki/Special:FilePath/Else%20berg%20-%20portrait%20of%20Mommie%20Schwarz%201936.jpg,Zutphen,30
Égide Charles Gustave Wappers,1803-08-23T00:00:00Z,Romanticism,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Gustave%20Wappers%2C%20RP-P-1907-1440.jpg,Antwerp,27
Karel Ooms,1845-01-27T00:00:00Z,Orientalism,http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Ooms%20-%20Self-portrait.jpg,Dessel,23
Henri Cassiers,1858-08-11T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Cassiers.jpg,Antwerp,22
Évariste Carpentier,1845-12-02T00:00:00Z,academic art,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20d%27Evariste%20Carpentier.jpg,Kuurne,18
Benjamin Prins,1860-01-20T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Prins1.JPG,Arnhem,15
Benjamin Prins,1860-01-21T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Prins1.JPG,Arnhem,15
Francis Davis Millet,1846-11-03T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/F.D.Millet%20Oval%20Portrait.jpg,Mattapoisett,13
Francis Davis Millet,1848-11-03T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/F.D.Millet%20Oval%20Portrait.jpg,Mattapoisett,13
Jan Hendrik Scheltema,1861-08-23T00:00:00Z,Impressionism,,The Hague,8
Jan Hendrik Scheltema,1861-08-23T00:00:00Z,Romantic realism,,The Hague,8
Marthe Donas,1885-10-26T00:00:00Z,abstract art,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Marthe%20Donas.jpg,Antwerp,7
Eugeen Van Mieghem,1875-10-01T00:00:00Z,,,Antwerp,6
Hugo Heyrman,1942-12-20T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Dr.HugoHeyrman.jpg,Antwerp,5
Max van Dam,1910-03-19T00:00:00Z,Bergen school,http://commons.wikimedia.org/wiki/Special:FilePath/Max%20van%20Dam%20zelfportret.jpg,Winterswijk,4
Max Selen,1932-04-16T00:00:00Z,hyperrealism,,Turnhout,2
Czesław Idźkiewicz,1889-10-21T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Czes%C5%82aw%20Id%C5%BAkiewicz.jpg,Różan,0
Tomasz Vetulani,1965-12-21T00:00:00Z,,,Kraków,0
Dušan Mravec,1980-12-15T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Du%C5%A1an%20Mravec.jpg,Žilina,0
Jef Van Campen,1934-02-06T00:00:00Z,,,Antwerp,0
